id,name,price,description,url,imageurl
25328702M,Washable Wool Classic Straight Skirt ,89.0,Make way for this effortless straight skirt. Add a blouse or suit jacket to complete your look. Make way for this effortless straight skirt. Add a blouse or suit jacket to complete your look.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/washable-wool-classic-straight-skirt-/25328702M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw9e8b0059/images/large/PG.10176157.JJ5AJXX.PZ.jpg
25413129M,Long Sleeve Cardigan,48.99,Stick with classic looks this season and getting dressed will be a breeze. Long sleeve knit cardigan with a button closure. Add a button front top under your cardigan to create a polished look. Stick with classic looks this season and getting dressed will be a breeze. Long sleeve knit cardigan with a button closure. Add a button front top under your cardigan to create a polished look.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-sleeve-cardigan/25413129M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw0aafcbf4/images/large/PG.10198974.JJ2DKXX.PZ.jpg
25419334M,Long Sleeve Turtle Neck,21.99,Turtle neck tops are always great for cool days and never go out of style. Pair this turtle neck top with trousers and flats for a casual Friday office look.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-sleeve-turtle-neck/25419334M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwf61ea341/images/large/PG.10190073.JJ1RYXX.PZ.jpg
25419639M,Long Sleeve Turtleneck Top,14.99,During chilly days it's great to have this long sleeve basic cotton turtleneck. Long sleeve basic cotton turtle neck.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-sleeve-turtleneck-top/25419639M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa46b864d/images/large/PG.10211613.JJ1RYXX.PZ.jpg
25448064M,Light Hematite Necklace,44.0,Brighten your day with this beautiful blue button necklace. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/light-hematite-necklace/25448064M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw564ae7b7/images/large/PG.51054910VC.HEMATML.PZ.jpg
25448066M,Light Hematite Button Clip-on Earrings,18.0,Brighten your day with this beautiful blue button clip-on earrings. Pair with a classic white scoop necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/light-hematite-button-clip-on-earrings/25448066M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwe6da99e9/images/large/PG.52054610VC.HEMATML.PZ.jpg
25448068M,Light Hematite Dangle Earrings,24.0,Brighten your day with this beautiful light hermatite dangle earrings. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/light-hematite-dangle-earrings/25448068M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa3c3d976/images/large/PG.53054310VC.HEMATML.PZ.jpg
25448070M,Light Hematite Bracelet,40.0,Brighten your day with this beautiful blue button bracelet. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/light-hematite-bracelet/25448070M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw7ec2bb13/images/large/PG.54055310VC.HEMATML.PZ.jpg
25484265M,Long Sleeve V-Neck Sweater,61.99,This cotton blend mitered pattern sweater is a great add on to any Commerce Cloud Store outfit!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-sleeve-v-neck-sweater/25484265M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwfe49a5ef/images/large/PG.10229590.JJS91B6.PZ.jpg
25490259M,Hammered Gold Earrings,20.0,The best silver earrings to add a subtle but elegant look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/hammered-gold-earrings/25490259M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwc2aea546/images/large/PG.52024001VC.ANTGOML.PZ.jpg
25492705M,Hammered Silver Earrings,20.0,The best silver earrings to add a subtle but elegant look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/hammered-silver-earings/25492705M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8656db04/images/large/PG.52024002VC.WORSIML.PZ.jpg
25493571M,Draped Cowl Neck,61.99,We took this classic cowl and updated it with this season's favorite colors.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/draped-cowl-neck/25493571M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw0aa7ccc9/images/large/PG.10214447.JJ0RQA8.PZ.jpg
25493587M,Scoop Neck Shell,28.99,We took this classic shell and updated it with this season's favorite colors.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/scoop-neck-shell/25493587M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw5f9a0e13/images/large/PG.10215123.JJ5ZQA0.PZ.jpg
25493602M,Flat Front Classic Pant,75.99,Our flat front trouser gives you a perfect fit every time.Pair it with a New Commerce Cloud Store top and you are set to go!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/flat-front-classic-pant/25493602M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwe44cd945/images/large/PG.10206864.JJS91A0.PZ.jpg
25493613M,Long Center Seam Skirt,82.99,This long center seam skirt is stunning. It is perfect for nine-to-five and beyond. This long center seam skirt is stunning. It is perfect for nine-to-five and beyond.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-center-seam-skirt/25493613M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw51196a63/images/large/PG.10206908.JJS91A5.PZ.jpg
25493624M,Flat Front Classic Pant,75.99,"Classically designed, this pin stripe pant is perfect to pair with the matching Commerce Cloud Store jacket!",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/flat-front-classic-pant/25493624M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw25a681e8/images/large/PG.10206960.JJ1ANA7.PZ.jpg
25493635M,Fringe Trim Jacket,138.99,Our best selling jacket is updated in a salt and pepper tweed. Pair it with the matching skirt and you are set to go from desk to dinner. Our best selling jacket is updated in a salt and pepper tweed. Pair it with the matching skirt and you are set to go from desk to dinner.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/fringe-trim-jacket/25493635M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwbaba11ac/images/large/PG.10207004.JJ1ANA8.PZ.jpg
25493646M,Wide Waist Pencil Skirt,75.99,A classic skirt in salt-and-pepper tweed looks new again. Add the matching Commerce Cloud Store jacket for a perfect look from nine-to-five and beyond. A classic skirt in salt-and-pepper tweed looks new again. Add the matching Commerce Cloud Store jacket for a perfect look from nine-to-five and beyond.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/wide-waist-pencil-skirt/25493646M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw34d82335/images/large/PG.10207165.JJ1ANB1.PZ.jpg
25493657M,Long Sleeve Covered Placket Blouse,61.99,We took this classic silhouette and updated this blouse with a ruffle for an elegant look.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-sleeve-covered-placket-blouse/25493657M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw5988a43b/images/large/PG.10207663.JJZ01XX.PZ.jpg
25493665M,Rib Trim V-Neck Cardigan,68.99,Meet your new wardrobe favorite - a rib trim v-neck cardigan that works perfectly from nine-to-five and beyond!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/rib-trim-v-neck-cardigan/25493665M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwe53f3219/images/large/PG.10214363.JJ0RQA2.PZ.jpg
25493689M,Tweed Cowl Neck Sweater,75.99,We took this classic cowl and updated it with this season's favorite colors.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/tweed-cowl-neck-sweater/25493689M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwe1ddf7a2/images/large/PG.10214683.JJT21XX.PZ.jpg
25493717M,Beaded Jewel Neck Blouse,68.99,This is an updated version of our best selling. Pair it with a great Commerce Cloud Store jacket for a perfect look. This is an updated version of our best selling. Pair it with a great Commerce Cloud Store jacket for a perfect look.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/beaded-jewel-neck-blouse/25493717M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw4d945205/images/large/PG.10207197.JJIT9XX.PZ.jpg
25493728M,Sleeveless Scoop Neck Shell,40.99,We took this classic shell and updated it with this season's favorite colors.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/sleeveless-scoop-neck-shell/25493728M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw2a5184b3/images/large/PG.10218069.JJ5ZQB2.PZ.jpg
25501032M,Long Sleeve Ruffle Front Trim Cardigan,58.99,"Warm and cozy,this cardigan is updated with a ruffle front.",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-sleeve-ruffle-front-trim-cardigan/25501032M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw4fab4898/images/large/PG.10215805.JJ3WCXX.PZ.jpg
25501133M,Long Sleeve Dolman Wrap Cardigan,52.99,You'll love this dolman wrap with a Commerce Cloud Store bottom! You'll love this dolman wrap with a Commerce Cloud Store bottom! Additional text to test the tabs!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/long-sleeve-dolman-wrap-cardigan/25501133M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw37ecc7d9/images/large/PG.10219365.JJ0CZXX.PZ.jpg
25501623M,2 Button Pocket Jacket,131.99,A classic jacket in salt-and-pepper tweed looks new again. Add the matching pant for a perfect look from nine-to-five and beyond. A classic jacket in salt-and-pepper tweed looks new again. Add the matching pant for a perfect look from nine-to-five and beyond.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/2-button-pocket-jacket/25501623M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw219846c5/images/large/PG.10206928.JJ1ANA1.PZ.jpg
25501785M,Wide Leg Pant,54.99,"Classically designed, this wide leg pant is perfect to pair with a great Commerce Cloud Store top!",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/wide-leg-pant/25501785M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw6c18fa90/images/large/PG.10204121.JJG80XX.PZ.jpg
25501802M,Textured Zip Front Cardigan,82.99,"Classically designed, this zip front textured cardigan is perfect to pair with a great Commerce Cloud Store bottom!",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/textured-zip-front-cardigan/25501802M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8e9d3ff0/images/large/PG.10219181.JJG80XX.PZ.jpg
25501952M,Rib Trim Cardigan,52.99,"Classically designed, this chartreuse-trimmed cardigan is perfect to pair with a great Commerce Cloud Store bottom!",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/rib-trim-cardigan/25501952M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8a85ef68/images/large/PG.10222612.JJGI0XX.PZ.jpg
25502027M,Classic Tweed Pant,80.99,Our best selling classic pant is updated in a bird's eye tweed with 2 back pockets!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/classic-tweed-pant/25502027M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw5591d8dc/images/large/PG.10208897.JJ0QRXX.PZ.jpg
25502038M,Flat Front Slim Pant,73.99,Our best selling slim pant with a tab waist and 2 back pockets is a must have wardrobe completer. We love the way it looks wit a great Commerce Cloud Store top!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/flat-front-slim-pant/25502038M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw9bfa1c03/images/large/PG.10208949.JJ0NLA0.PZ.jpg
25502072M,Classic Blouse,65.99,We took our long sleeve button front classic blouse and updated it with a new color for the season.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/classic-blouse/25502072M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw213b8358/images/large/PG.10208973.JJZ01XX.PZ.jpg
25502097M,Belted Pencil Skirt,73.99,Our best selling skirt is updated with a belt and a button front!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/belted-pencil-skirt/25502097M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwae720fdc/images/large/PG.10209745.JJ0NLA3.PZ.jpg
25502108M,Belted Boat Neck,58.99,Pair this 3/4 sleeve belted rib boat neck with one of our updated classic skirts.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/belted-boat-neck/25502108M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwaf14a4cf/images/large/PG.10214675.JJ0NLB1.PZ.jpg
25502134M,Sleeveless Scoop Neck Shell,43.99,We took this classic shell and updated it with this season's favorite color.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/sleeveless-scoop-neck-shell/25502134M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw690d379d/images/large/PG.10214727.JJ0NLC1.PZ.jpg
25502154M,Belted Safari Jacket,148.99,This jacket is one of our all time favorite classic styles. Pair it with the matching skirt and a piece of great Commerce Cloud Store jewelry.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/belted-safari-jacket/25502154M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw39c236c0/images/large/PG.10214859.JJ0NLB6.PZ.jpg
25502177M,Belted Cardigan,103.99,This is a great staple piece for your wardrobe! You can wear it open with a great tank or closed for a more career look. Please note the belt is not included. This is a great staple piece for your wardrobe! You can wear it open with a great tank or closed for a more career look. Please note the belt is not included.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/belted-cardigan/25502177M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw0ff8c369/images/large/PG.10215127.JJ493XX.PZ.jpg
25502192M,Short Sleeve Shell,30.99,We took this classic shell and updated it with this season's favorite color.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/short-sleeve-shell/25502192M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwcae3d1bd/images/large/PG.10215131.JJ0NLC6.PZ.jpg
25502228M,Belted Cardigan With Studs,95.99,Our best selling cardigan is now updated with a detachable belt and studs. Pair it with a Commerce Cloud Store shell and it is great for nine-to-five and beyond.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/belted-cardigan-with-studs/25502228M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw3633e389/images/large/PG.10215179.JJ0NLD0.PZ.jpg
25502240M,Elbow Sleeve Ribbed Sweater,65.99,"Layer this sweater under a great Commerce Cloud Store cardigan, or wear it alone. Dress it up with a great piece of Commerce Cloud Store jewelry.",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/elbow-sleeve-ribbed-sweater/25502240M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd206e0ad/images/large/PG.10215187.JJDS0XX.PZ.jpg
25502266M,Tonal Patterned Sweater,80.99,"We are obsessed with this tonal sweater. Not only does it match just about any neutral bottom in your closet, it will make you look fabulous!",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/tonal-patterned-sweater/25502266M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd6d03040/images/large/PG.10215191.JJ0QRXX.PZ.jpg
25502284M,Novelty Stitch Belted Cardigan,95.98,Our best selling cardigan is now updated with a detachable belt and this season's new stitch. Pair it with a Commerce Cloud Store shell and it is great for nine-to-five and beyond.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/novelty-stitch-belted-cardigan/25502284M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw5d5e8123/images/large/PG.10215243.JJ0NLB9.PZ.jpg
25502296M,Shimmer Blouse,65.99,The added shimmer to this blouse makes it a perfect top for nine-to-five and beyond. The front seam detailing is a slenderizing touch!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/shimmer-blouse/25502296M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw5bb0ad9e/images/large/PG.10220987.JJ493XX.PZ.jpg
25502346M,Cowl Neck Tweed Pullover Sweater,61.99,"This tweed sweater is crisp, classic, and casually chic.",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/cowl-neck-tweed-pullover-sweater/25502346M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwe99a31f1/images/large/PG.10224716.JJ9VSB2.PZ.jpg
25502452M,Slim Pant,64.99,This classic narrow leg pant will be an instant everyday staple. Pair it with a great Commerce Cloud Store top and you are set to go!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/slim-pant/25502452M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw49947e14/images/large/PG.10202628.JJJA4XX.PZ.jpg
25502521M,Classic Narrow Leg Pant,70.99,This sleek narrow leg pant is a wardrobe classic. Pair it with a great Commerce Cloud Store top and you are set to go!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/classic-narrow-leg-pant/25502521M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw1165041a/images/large/PG.10202812.JJQ07XX.PZ.jpg
25502603M,Lurex patterned Cardigan,82.99,"We love this new jacket replacement,perfect for pairing with skirts or slacks.",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/lurex-patterned-cardigan/25502603M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw590a2ff4/images/large/PG.10214383.JJ3WDXX.PZ.jpg
25502608M,Cable Cardigan,76.99,"Open and cozy,this cardigan is updated with a cascading front.",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/cable-cardigan/25502608M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwc52cbd4c/images/large/PG.10214463.JJ3WDXX.PZ.jpg
25502629M,Braid Trimmed Cardigan,82.99,"We love this new jacket replacement,perfect for pairing with skirts or slacks.",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/braid-trimmed-cardigan/25502629M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw74fed1f2/images/large/PG.10214607.JJQ07XX.PZ.jpg
